,Date,SessionTime,DriverAhead,sGapToCarAhead,Time,nEngine,vCar,nGear,rThrottlePedal,pBrakeF1,Source,RelativeDistance,Status,X,Y,Z,sLap,Lap
29347,06:37.2,0 days 01:20:50.876000,10,209.0747222,0 days 00:00:09.526000,12010,267,6,100,FALSE,car,0.163989336,OnTrack,-3919.151496,-3847.795631,825.0028966,537.4438193,27
29348,06:37.4,0 days 01:20:51.076000,10,201.4080556,0 days 00:00:09.726000,11963,268,6,100,FALSE,car,0.168526586,OnTrack,-3849.565897,-3823.091222,830.6068037,552.3327082,27
29349,06:37.4,0 days 01:20:51.133000,10,199.2072148,0 days 00:00:09.783000,11962.145,268,6,100,FALSE,pos,0.169818269,OnTrack,-3816,-3814,833,556.5760415,27
29350,06:37.6,0 days 01:20:51.276000,10,193.6858333,0 days 00:00:09.926000,11960,268,6,100,FALSE,car,0.173063836,OnTrack,-3689.353249,-3781.678558,841.6546109,567.2215971,27
29351,06:37.7,0 days 01:20:51.413000,10,188.2819369,0 days 00:00:10.063000,11998.36005,270.0550029,6,100,FALSE,pos,0.176203233,OnTrack,-3555,-3751,850,577.4986902,27
29352,06:37.8,0 days 01:20:51.476000,10,185.7969444,0 days 00:00:10.126000,12016,271,6,100,FALSE,car,0.177651877,OnTrack,-3502.776524,-3741.098618,852.7518538,582.2411902,27
29353,06:38.0,0 days 01:20:51.673000,10,177.971659,0 days 00:00:10.323000,12109.02787,271.5472228,6,100,FALSE,pos,0.18218841,OnTrack,-3363,-3722,858,597.1008577,27
29354,06:38.1,0 days 01:20:51.836000,10,171.4969444,0 days 00:00:10.486000,12186,272,6,100,FALSE,car,0.185940823,OnTrack,-3241.997762,-3708.757978,860.7233084,609.4164133,27
29355,06:38.3,0 days 01:20:52.033000,10,163.8905481,0 days 00:00:10.683000,11907.46362,269.811109,6,45.27772444,FALSE,pos,0.190464737,OnTrack,-3093,-3691,862,624.1810767,27
29356,06:38.5,0 days 01:20:52.196000,10,157.5969444,0 days 00:00:10.846000,11677,268,6,0,TRUE,car,0.194107873,OnTrack,-2975.516173,-3671.569032,861.2207515,636.3155212,27
29357,06:38.6,0 days 01:20:52.253000,10,155.6811047,0 days 00:00:10.903000,11737.8002,263.249984,6,0,TRUE,pos,0.195344062,OnTrack,-2937,-3664,861,640.4836459,27
29358,06:38.7,0 days 01:20:52.353000,10,152.3199935,0 days 00:00:11.003000,11844.46687,254.9166507,6,0,TRUE,pos,0.197462233,OnTrack,-2870,-3648,861,647.564664,27
29359,06:38.7,0 days 01:20:52.436000,10,149.5302778,0 days 00:00:11.086000,11933,248,6,0,TRUE,car,0.199146252,OnTrack,-2799.770558,-3623.876028,861.4473128,653.2824418,27
29360,06:38.9,0 days 01:20:52.613000,10,144.8102727,0 days 00:00:11.263000,11436.76732,230.9321243,6,0.632143543,TRUE,pos,0.202496713,OnTrack,-2643,-3558,863,664.6366045,27
29361,06:39.0,0 days 01:20:52.716000,10,142.0636111,0 days 00:00:11.366000,11148,221,5,1,TRUE,car,0.204384406,OnTrack,-2593.767012,-3533.96106,863.4765704,670.9596601,27
29362,06:39.2,0 days 01:20:52.933000,10,136.6988878,0 days 00:00:11.583000,11714.05349,215.594305,5,1.772242149,TRUE,pos,0.208342635,OnTrack,-2542,-3494,864,683.9552057,27
29363,06:39.3,0 days 01:20:52.997000,10,135.1166667,0 days 00:00:11.647000,11881,214,5,2,TRUE,car,0.20947476,OnTrack,-2516.790034,-3473.613158,864.311645,687.7596502,27
29364,06:39.4,0 days 01:20:53.113000,10,132.6677778,0 days 00:00:11.763000,11640.3,208.925,5,2.483333333,TRUE,pos,0.211466464,OnTrack,-2464,-3428,865,694.4916779,27
